"repository","gem","gemfileLock"
"swagger-to-rbs","rspec","3.10.0"
"rubocop-linter-action","rspec","3.9.0"
"example-ruby-3-static-type","rspec","3.9.0"
"httplog","rspec","3.8.0"
"dockerize-stack","rspec","3.7.0"
"rails-boilerplate","rspec","3.5.0"
"scrap-css","rspec","3.5.0"
"rails-5-mongoid-boilerplate","rspec","3.5.0"
"rails-assets-public","rspec","3.5.0"
"core_ad_server","rspec","3.2.0"
"rspec_reports_formatter","rspec","3.0.0"
