"repository","gem","gemfileLock"
"rails-5-mongoid-boilerplate","devise","4.2.0"
"RailsReactAjax","devise","3.5.6"
"AgiledeversShoppingCartApp","devise","3.5.1"
"IronHack_project_PrepareMyExam","devise","3.4.1"
